order_id,arrival_time,customer_tier,order_type,item_count,urgency_score,priority_level,verification_time,pick_duration,had_error,redo_duration,queue_entry_time,wait_to_picker,picker_id,assignment_time,completion_time,total_fulfillment_time,status,exception_reason,in_queue
2133,177.88430706271353,regular,Fragile,5,3.26,medium,0.04159314632633011,1.0393778389842407,False,,177.92590020903987,0.1741886707457354,7.0,178.1000888797856,179.13946671876985,1.2551596560563212,fulfilled,,False
2134,177.96090135454895,regular,Bulky,6,2.0,low,0.047543800416465706,1.1704306115917746,False,,178.00844515496541,0.13274089010639045,2.0,178.1411860450718,179.31161665666357,1.3507153021146223,fulfilled,,False
2135,178.05734749013936,regular,Standard,2,2.14,low,0.02579533760792072,0.5603103069705176,False,,178.08314282774728,0.3092838658509436,0.0,178.39242669359822,178.95273700056873,0.8953895104293679,fulfilled,,False
2136,178.12646256120124,prime,Express,4,6.319999999999999,high,0.03194111292092412,,False,,178.15840367412216,,,,178.35840367412214,0.23194111292090724,cancelled,cancelled,False
2137,178.2196219306444,regular,Express,2,4.239999999999999,medium,0.047795724863354164,0.2045400687883124,True,0.07362678947239024,178.26741765550776,0.12962895217961545,6.0,178.39704660768737,178.67521346594808,0.45559153530368235,fulfilled,,False
2138,178.2734299699275,regular,Bulky,1,1.2999999999999998,low,0.037673559194323226,0.5095167084725857,False,,178.31110352912182,0.09370324771506944,3.0,178.4048067768369,178.91432348530947,0.6408935153819755,fulfilled,,False
2139,178.34226314565188,regular,Standard,5,2.5599999999999996,low,0.04327611949177709,0.6544079961136099,False,,178.38553926514365,0.08735236238888433,4.0,178.47289162753253,179.12729962364614,0.7850364779942538,fulfilled,,False
2140,178.4175562430474,regular,Express,3,4.38,medium,0.030247836639684632,0.3013966847317589,False,,178.44780407968707,0.15895088006297442,1.0,178.60675495975005,178.90815164448182,0.49059540143443314,fulfilled,,False
2141,178.52212431595117,regular,Standard,1,2.0,low,0.04135017906524714,0.38689475879932905,False,,178.5634744950164,0.10464829270082987,5.0,178.66812278771724,179.05501754651658,0.5328932305654064,fulfilled,,False
2142,178.59517012459665,regular,Fragile,7,3.54,medium,0.049537524065390574,0.9109965505676053,False,,178.64470764866203,0.030505817286041292,6.0,178.67521346594808,179.58621001651568,0.99103989191903,fulfilled,,False
2143,178.68288670466205,regular,Standard,3,2.28,low,0.023792482128411882,0.47978413047153895,True,0.21803094612108367,178.70667918679047,0.20147245769135225,1.0,178.90815164448182,179.60596672107442,0.9230800164123707,fulfilled,,False
2144,178.76275088852492,regular,Express,6,4.799999999999999,medium,0.03558402414748677,0.28820262393787016,False,,178.7983349126724,0.11598857263706464,3.0,178.91432348530947,179.20252610924734,0.43977522072242436,fulfilled,,False
2145,178.86596485801462,regular,Express,4,4.52,medium,0.024031313095009325,0.25738324908625393,False,,178.88999617110963,0.06274082945910209,0.0,178.95273700056873,179.21012024965498,0.34415539164035636,fulfilled,,False
2146,178.97476279612084,regular,Standard,3,2.28,low,0.04950152158634242,0.39857964355136116,True,0.12438810490276378,179.02426431770718,0.030753228809402344,5.0,179.05501754651658,179.57798529497072,0.603222498849874,fulfilled,,False
2147,179.03785422818646,prime,Fragile,4,4.92,medium,0.04713909893314727,0.7115605361872738,False,,179.0849933271196,0.04230629652653306,4.0,179.12729962364614,179.83886015983342,0.8010059316469551,fulfilled,,False
2148,179.10813518156004,regular,Fragile,7,3.54,medium,0.02242238132558913,0.9668554770041182,True,0.3684776317458153,179.13055756288563,0.008909155884225584,7.0,179.13946671876985,180.47479982751977,1.3666646459597303,fulfilled,,False
2149,179.18087283153687,regular,Standard,1,2.0,low,0.029240824975408274,0.49658398380818175,False,,179.21011365651228,0.0,3.0,179.21011365651228,179.70669764032047,0.5258248087835966,fulfilled,,False
2150,179.25060892323427,regular,Standard,5,2.5599999999999996,low,0.0458152744938877,0.6026077673990761,False,,179.29642419772816,0.0,0.0,179.29642419772816,179.89903196512722,0.6484230418929542,fulfilled,,False
2151,179.31308930096358,regular,Fragile,8,3.68,medium,0.048626404898004294,1.0616835032305942,False,,179.3617157058616,0.0,2.0,179.3617157058616,180.4233992090922,1.1103099081286132,fulfilled,,False
2152,179.41267934294572,prime,Fragile,4,4.92,medium,0.04063501951688603,0.7390606500247888,False,,179.4533143624626,0.1246709325081099,5.0,179.57798529497072,180.3170459449955,0.9043666020497767,fulfilled,,False
2153,179.47791659086482,prime,Standard,8,4.779999999999999,medium,0.04380500790547741,0.6005431319672977,False,,179.5217215987703,0.06448841774536618,6.0,179.58621001651568,180.18675314848298,0.7088365576181559,fulfilled,,False
2154,179.5400528733645,regular,Standard,2,2.14,low,0.022242891694619436,0.41745807430710524,False,,179.5622957650591,0.04367095601531901,1.0,179.60596672107442,180.02342479538152,0.48337192201702806,fulfilled,,False
2155,179.64546055143694,regular,Express,6,4.799999999999999,medium,0.04719139099312428,0.3027352833083328,False,,179.69265194243007,0.014045697890395559,3.0,179.70669764032047,180.0094329236288,0.36397237219185286,fulfilled,,False
2156,179.73692616355913,regular,Standard,2,2.14,low,0.03411294438633514,0.4615152222525945,False,,179.77103910794546,0.06782105188796095,4.0,179.83886015983342,180.300375382086,0.5634492185268698,fulfilled,,False
2157,179.8372884507434,regular,Standard,4,2.42,low,0.025301527182838922,0.7758069201685691,False,,179.86258997792623,0.03644198720098757,0.0,179.89903196512722,180.6748388852958,0.8375504345524121,fulfilled,,False
2158,179.94530602570723,regular,Bulky,6,2.0,low,0.02513064260363122,0.8507580636273737,False,,179.97043666831087,0.03899625531792594,3.0,180.0094329236288,180.86019098725617,0.9148849615489496,fulfilled,,False
2159,180.0208567180484,prime,Standard,4,4.22,medium,0.028956689548873465,0.48552200963462444,False,,180.04981340759727,0.0,1.0,180.04981340759727,180.5353354172319,0.5144786991834849,fulfilled,,False
2160,180.13079011951677,regular,Standard,4,2.42,low,0.03568287475898217,0.5853221797164598,False,,180.16647299427575,0.02028015420722795,6.0,180.18675314848298,180.77207532819943,0.6412852086826604,fulfilled,,False
2161,180.2208325911622,regular,Fragile,4,3.12,medium,0.047658175269628074,0.6577976075855445,False,,180.26849076643182,0.031884615654178106,4.0,180.300375382086,180.95817298967154,0.7373403985093319,fulfilled,,False
2162,180.31079208956615,prime,Express,5,6.459999999999999,high,0.027710295818531887,0.4028369649176221,False,,180.3385023853847,0.0,5.0,180.3385023853847,180.7413393503023,0.430547260736148,fulfilled,,False
2163,180.39719174672973,regular,Express,5,4.659999999999999,medium,0.036912408505410166,0.3222923492105936,False,,180.43410415523513,0.0,2.0,180.43410415523513,180.75639650444572,0.35920475771598603,fulfilled,,False
2164,180.47976923782792,regular,Express,7,4.9399999999999995,medium,0.029061808218181828,0.41747421851898625,False,,180.5088310460461,0.0,7.0,180.5088310460461,180.9263052645651,0.44653602673716364,fulfilled,,False
2165,180.58842336023815,regular,Bulky,1,1.2999999999999998,low,0.041928243644477434,0.742001030842162,False,,180.63035160388262,0.0,1.0,180.63035160388262,181.3723526347248,0.7839292744866384,fulfilled,,False
2166,180.6617927542755,regular,Express,3,4.38,medium,0.036010913251365295,0.24894596483562587,False,,180.69780366752687,0.0,0.0,180.69780366752687,180.9467496323625,0.28495687808700154,fulfilled,,False
2167,180.75647881493825,regular,Fragile,6,3.4,medium,0.035001774102896496,0.8399375877577535,False,,180.79148058904116,0.0,5.0,180.79148058904116,181.63141817679892,0.8749393618606689,fulfilled,,False
2168,180.85202041609983,regular,Standard,1,2.0,low,0.04303967449554567,0.4694918770398459,False,,180.89506009059536,0.0,2.0,180.89506009059536,181.3645519676352,0.5125315515353748,fulfilled,,False
2169,180.91940233924043,regular,Express,4,4.52,medium,0.0469539596898757,0.2984269322469176,False,,180.96635629893032,0.0,6.0,180.96635629893032,181.26478323117723,0.34538089193679866,fulfilled,,False
2170,181.02772533269808,regular,Fragile,2,2.84,low,0.03457935983007745,0.6475552027699409,False,,181.06230469252816,0.0,3.0,181.06230469252816,181.7098598952981,0.6821345626000266,fulfilled,,False
2171,181.10168439647765,regular,Express,6,4.799999999999999,medium,0.03710641775361373,0.3282029181911164,False,,181.13879081423127,0.0,7.0,181.13879081423127,181.4669937324224,0.3653093359447439,fulfilled,,False
